Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/newsletters/fall-2016-newsletter/,,,,,,1,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/featured/summer-newsletter/,,,,,,1,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/featured/spring-16-newsletter/,,,,,,1,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/news/winter-2016-newsletter/,,,,,,1,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/news/fall-newsletter/,,,,,,1,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/news/our-summer-2015-newsletter/,,,,,,1,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/news/2018-2019-annual-report/,,,,,,,1,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/news/2017-2018-annual-report/,,,,,,,1,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/news/2016-2017-annual-report/,,,,,,,1,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/news/annual-report-14-15/,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/,1,,,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/about/about-us,,1,,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/cases/ansly-damus-et-al-v-nielsen-et-al,,,1,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/cases/ansly-damus-v-director-bureau-immigration-and-customs-enforcement-et-al,,,1,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/cases/prieto-refunjol-et-al-v-adducci,,,1,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/cases/amaya-cruz-et-al-v-adducci-et-al,,,1,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/publications/sanctuary-cities-civil-liberties-briefing,,,1,,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/issues/immigrant-rights,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/sb-323-unauthorized-worker-exclusion-bill-2011-2012,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/hb-252-immigration-status-verification-bill-2011-2012,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/hb-580-arizona-style-immigration-bill-2011-2012,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/sb-98-statewide-immigration-enforcement-agreements-2011-2012,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/sb-62-daca-status-drivers-licenses-2013-2014,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/hb-114-non-citizen-license-eligibility-2013-2014,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/hb-155-daca-status-drivers-licenses-2013-2014,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/hb-254-prohibit-state-tuition-daca-students-2013-2014,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/sb-176-prohibit-workers-compensation-undocumented-immigrants-2013-2014,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/sb-162-withhold-local-money-if-uncooperative-immigration-policy-2017-2018,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/legislation/hb-380-prohibit-unauthorized-aliens-receiving-workers-compensation-2017-2018,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/why-we-cant-stay-silent,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/right-asylum-what-can-we-do,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/right-asylum-detention-and-legal-counsel,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/right-asylum-migration-law,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/right-asylum-legal-relief-persecution,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/nothing-gained-painesville-policy-413,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/its-us-declaring-and-defending-sanctuary-cities,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/immigration-facts-put-sanctuary-cities-right-side-history,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/how-we-got-muslim-ban-20,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/organizing-and-activism-it-takes-all-kinds-aclu-oberlin,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/alternative-facts-sanctuary-cities-will-hurt-our-communities,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/its-time-dhs-cut-ties-profit-prisons,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/improving-health-policies-ohios-undocumented-immigrants,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/economic-impact-immigration-look-ohio,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/ohio-votes-real-versus-imagined-problems,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/undocumented-safe-now-how-long,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/senate-bill-349-attack-civil-rights-protections,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/help-kids-and-lose-your-funding-new-legislations-heartless-approach-immigration-crisis,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/no-legal-authority-ohio-jails-detain-immigrants,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/profit-company-needs-stop-making-money-locking-immigrants,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/executive-order-loophole-private-prisons-and-ice,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/ohio-counties-need-cut-ties-ice,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/heres-how-you-can-celebrate-aapi-community-all-year-long,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/news/how-did-we-get-here-historical-reconciliation,,,,1,,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-ohio-calls-biden-administration-and-local-sheriffs-provide-vaccine-access-all,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-ohio-urges-federal-legislators-prevent-deportation-sandusky-residents,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/new-workers-compensation-proposal-will-harm-immigrant-families-says-aclu-ohio,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-urges-painesville-police-department-scrap-new-immigration-policy,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-ohio-files-lawsuit-calling-documents-implementation-trump-muslim-ban,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-urges-local-sheriffs-reject-participation-federal-immigration-enforcement,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/proposed-bill-ban-sanctuary-cities-unconstitutional-says-aclu-ohio,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-ohio-files-foia-execution-trumps-immigration-ban,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/civil-rights-groups-urge-federal-government-not-hold-immigrants-youngstown-prison,,,,,1,,,,,,,,,,,,,,,,,,
