Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,SpeechWTranscript,SpeechNoTranscript,NOTES,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/al-bihani-v-obama,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/mohammed-kamin-periodic-review-board-prb-proceedings,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/ghazy-v-bush,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/arar-v-ashcroft-et-al,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/center-constitutional-rights-launches-911-effect-resource-site,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/Episode-42--Reflecting-on-20-years-of-the-war-terror-at-home--federal%20prosecutions--transcript.pdf,,,,1,,,,,,"This is a podcast transcript. This episode is a look back at Gunatanamo (because of its 20 year anniversary) with several reflections on torture, victim-specific abuses, and the general conditions of GTMO. There is advocacy on behalf of one torture victim by his brother",,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/Episode-13-Justice-for-Abu-Ghraib-with-Katherine-Gallagher-and-Baher-Azmy-transcript.pdf,,,,1,,,,,,"This is a podcast transcript focused on CCR's efforts to bring accountability for torture. In the episode, CCR focuses on a specific case that is ongoing. Commentary is provided by various CCR staff, including their legal director",,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/attach/2022/02/1-31-22_ADV_FacesGMTO_FINAL.pdf,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sharqawi-al-hajj,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/abdul-razak-ali,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/mohammed-al-qahtani,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/salah-al-ejaili,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sufyian-barhoumi,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/majid-khan,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/guled-hassan-duran,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/abdul-razak-ali,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/resource-senate-select-committee-intelligence-ssci-cia-torture-report,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/ghaleb-nassar-al-bihani,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/no-more-guantanamo-no-torture-presidency-no-indefinite-detention,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/tariq-ba-odah,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/ba-odah-v-obama,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/muhammadi-davliatov,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/mohammed-kamin,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/zahir-hamdoun,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/get-involved/tools-resources/videos/fahd-ghazy-released-guant-namo,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/ccr-position-obama-s-new-plan-close-guant-namo,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/david-hicks,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/hicks-v-united-states,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/ameziane-v-obama-ameziane-v-united-states,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/get-involved/tools-resources/fact-sheets-and-faqs/factsheet-accountability-and-prosecutions,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/blog/2015/07/13/how-un-can-help-us-end-corporate-impunity-human-rights-abuses,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/hany-ibrahim,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/yasser-ebrahim,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/anser-mehmood,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/ahmer-iqbal-abbasi,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/purna-raj-bajracharya,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/get-involved/tools-resources/fact-sheets-and-faqs/factsheet-turkmen-v-ashcroft,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/abu-ghraib-trial,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/critical-alert-about-guant-namo-detainee-sharqawi-al-hajj,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/ccr-condemns-haspel-testimony,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/human-rights-group-urges-international-court-investigate-us,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/court-rules-abu-ghraib-survivors-case-torture-against-private,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/constitutional-scholars-military-officers-human-rights-groups-file,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/abu-ghraib-survivors-appeal-immunity-corporation-involved-torture,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/no-impunity-corporate-torturers-abu-ghraib-attorneys-argue,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/abu-ghraib-torture-victims-may-sue-us-corporation-appeals-court,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/no-corporate-impunity-abu-ghraib-torture-attorneys-urge-court,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/us-courts-can-hear-cases-torture-abu-ghraib-experts-argue,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/no-accountability-military-contractor-s-role-abu-ghraib-torture,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/federal-appeals-court-permits-suits-against-private-military,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/supreme-court-hears-argument-over-whether-corporations-can-be-held,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/abu-ghraib-torture-victims-challenge-corporate-impunity,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/blog/2017/10/10/supreme-court-must-consider-corporate-liability-under-alien-tort-statue-through,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/blog/2015/09/23/torture-not-political-question,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/new-details-torture-cia-black-sites,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://www.cvt.org/sites/default/files/attachments/u93/downloads/hrs_and_security_coalition_statement_12-7_sjc_gtmo_hearing.pdf,,,,,1,,,,,,,,,,,,,,,,,,,
